"probeID","CpG_chrm","CpG_beg","CpG_end","probe_strand","CpG_sites_hg19","CHR","Probe_SNPs","gene","TSS_position","UCSC_CpG_Islands_Name","Feature_Type","predict","prob"
"cg05409967","chr18",13828547,13828549,"-","18:13828548","18","","","","chr18:13826186-13826523","S_Shelf","Updated_Hypo_MS4",0.260391363733985
"cg05455971","chr8",1616421,1616423,"+","8:1616422","8","","DLGAP2","Body","chr8:1616521-1616876","N_Shore","Updated_Hypo_MS4",0.3341212695079
"cg05462446","chr16",77574071,77574073,"-","16:77574072","16","","","","","","Updated_Hypo_MS4",0.288957113636391
"cg05472059","chr2",1054786,1054788,"-","2:1054787","2","","SNTG2","Body","chr2:1052315-1052730","S_Shelf","Updated_Hypo_MS4",0.319632180350412
"cg05514299","chr17",74868669,74868671,"+","17:74868670","17","","MGAT5B","Body","chr17:74864170-74866657","S_Shelf","Updated_Hypo_MS4",0.423240771935281
"cg05514299","chr17",74868669,74868671,"+","17:74868670","17","","MGAT5B","TSS200","chr17:74864170-74866657","S_Shelf","Updated_Hypo_MS4",0.423240771935281
"cg05533037","chr21",32202009,32202011,"+","21:32202010","21","","KRTAP7-1","1stExon","","","Updated_Hypo_MS4",0.412423966852381
"cg05570258","chr7",105662883,105662885,"-","7:105662884","7","","FLJ23834","Body","","","Updated_Hypo_MS4",0.31689827305344
"cg05582719","chr6",73043501,73043503,"-","6:73043502","6","","RIMS1","Body","","","Updated_Hypo_MS4",0.418522677032823
"cg05616355","chr11",124480989,124480991,"+","11:124480990","11","","PANX3","TSS1500","","","Updated_Hypo_MS4",0.316547280387135
"cg05643339","chr1",175036686,175036688,"-","1:175036687","1","","TNN","TSS1500","","","Updated_Hypo_MS4",0.396503505321391
"cg05671644","chr7",102632302,102632304,"-","7:102632303","7","","FBXL13","Body","","","Updated_Hypo_MS4",0.343040095884995
"cg05767404","chr1",247712590,247712592,"-","1:247712591","1","rs76119911","C1orf150","Body","","","Updated_Hypo_MS4",0.322970064131032
"cg05775746","chr1",58520531,58520533,"-","1:58520532","1","","DAB1","5'UTR","","","Updated_Hypo_MS4",0.344072590926233
"cg05775862","chr10",31026100,31026102,"-","10:31026101","10","rs35836361","","","","","Updated_Hypo_MS4",0.253178229018114
"cg05787063","chr10",6740632,6740634,"+","10:6740633","10","","","","","","Updated_Hypo_MS4",0.224211897662259
"cg05935520","chr5",20611904,20611906,"-","5:20611905","5","","","","","","Updated_Hypo_MS4",0.29839458433129
"cg05951296","chr10",130602125,130602127,"-","10:130602126","10","","","","","","Updated_Hypo_MS4",0.341341218836377
"cg05977776","chr2",3741731,3741733,"-","2:3741732","2","","ALLC","Body","","","Updated_Hypo_MS4",0.275474539505569
"cg05979457","chr8",105373627,105373629,"-","8:105373628","8","","","","","","Updated_Hypo_MS4",0.310841791926881
"cg05999364","chr8",3269951,3269953,"-","8:3269952","8","rs73657846","CSMD1","Body","","","Updated_Hypo_MS4",0.320660803007014
"cg06009685","chr16",77472696,77472698,"+","16:77472697","16","","","","chr16:77468309-77469074","S_Shelf","Updated_Hypo_MS4",0.284788808761429
"cg06042148","chr8",97138160,97138162,"-","8:97138161","8","","","","","","Updated_Hypo_MS4",0.295087302933671
"cg06082318","chr13",101630200,101630202,"+","13:101630201","13","","","","","","Updated_Hypo_MS4",0.293108540267088
"cg06106653","chr10",84719877,84719879,"+","10:84719878","10","","NRG3","Body","","","Updated_Hypo_MS4",0.409438552348769
"cg06112171","chr6",40324497,40324499,"+","6:40324498","6","","","","","","Updated_Hypo_MS4",0.275759089301528
"cg06120122","chr11",22201920,22201922,"+","11:22201921","11","","","","","","Updated_Hypo_MS4",0.369923335043374
"cg06201717","chr1",2949632,2949634,"+","1:2949633","1","","","","","","Updated_Hypo_MS4",0.272635868225429
"cg06228828","chr13",50653047,50653049,"+","13:50653048","13","","DLEU2","Body","chr13:50655281-50656408","N_Shelf","Updated_Hypo_MS4",0.266980195101463
"cg06278714","chr7",43287967,43287969,"+","7:43287968","7","","HECW1","Body","chr7:43288634-43288948","N_Shore","Updated_Hypo_MS4",0.23773660730519
"cg06306006","chr3",184018172,184018174,"-","3:184018173","3","rs79684711","PSMD2","Body","chr3:184016577-184017416","S_Shore","Updated_Hypo_MS4",0.260055666693799
"cg06354543","chr10",130376571,130376573,"+","10:130376572","10","","","","","","Updated_Hypo_MS4",0.296508665642229
"cg06390363","chr6",150360828,150360830,"-","6:150360829","6","","","","chr6:150358872-150359394","S_Shore","Updated_Hypo_MS4",0.211610526201465
"cg06452558","chr8",1401886,1401888,"-","8:1401887","8","rs73534626","","","chr8:1404884-1405094","N_Shelf","Updated_Hypo_MS4",0.33093970294223
"cg06530558","chr15",54304777,54304779,"-","15:54304778","15","","UNC13C","TSS1500","","","Updated_Hypo_MS4",0.347848752739664
"cg06539006","chr2",207814686,207814688,"-","2:207814687","2","","CPO","Body","","","Updated_Hypo_MS4",0.24437136831787
"cg06552160","chr2",1926723,1926725,"+","2:1926724","2","","MYT1L","Body","","","Updated_Hypo_MS4",0.350411950020062
"cg06565452","chr9",107299307,107299309,"+","9:107299308","9","","OR13C3","TSS1500","","","Updated_Hypo_MS4",0.288107008334845
"cg06576557","chr20",31828748,31828750,"-","20:31828749","20","","PLUNC","Body","","","Updated_Hypo_MS4",0.278435365484092
"cg06580523","chr12",132908453,132908455,"-","12:132908454","12","","","","chr12:132910476-132910802","N_Shelf","Updated_Hypo_MS4",0.265356010993488
"cg06609496","chr5",1174425,1174427,"-","5:1174426","5","rs28372341","","","chr5:1170702-1170941","S_Shelf","Updated_Hypo_MS4",0.356815786636374
"cg06648156","chr6",28481659,28481661,"+","6:28481660","6","","GPX6","Body","","","Updated_Hypo_MS4",0.296903144859209
"cg06677416","chr10",64495626,64495628,"-","10:64495627","10","rs34349094","","","","","Updated_Hypo_MS4",0.307849565397227
"cg06679878","chr12",130335339,130335341,"+","12:130335340","12","","TMEM132D","Body","","","Updated_Hypo_MS4",0.223005135851916
"cg06712013","chr12",49759544,49759546,"+","12:49759545","12","","SPATS2","TSS1500","chr12:49760221-49761127","N_Shore","Updated_Hypo_MS4",0.434832860204648
"cg06718003","chr19",15851770,15851772,"-","19:15851771","19","","OR10H3","TSS1500","","","Updated_Hypo_MS4",0.219687249007426
"cg06746274","chr11",60296548,60296550,"-","11:60296549","11","","MS4A13","Body","","","Updated_Hypo_MS4",0.327272314735678
"cg06790305","chr21",32412190,32412192,"-","21:32412191","21","","KRTAP19-8","TSS1500","","","Updated_Hypo_MS4",0.28642832869999
"cg06792975","chr4",71337872,71337874,"+","4:71337873","4","","MUC7","1stExon","","","Updated_Hypo_MS4",0.282438864456027
"cg06792975","chr4",71337872,71337874,"+","4:71337873","4","","MUC7","5'UTR","","","Updated_Hypo_MS4",0.282438864456027
"cg06836656","chr1",2876346,2876348,"+","1:2876347","1","","","","chr1:2876545-2876808","N_Shore","Updated_Hypo_MS4",0.274607606147284
"cg06866232","chr11",5020581,5020583,"+","11:5020582","11","","OR51L1","1stExon","","","Updated_Hypo_MS4",0.232974758005053
"cg06936290","chr7",13889870,13889872,"-","7:13889871","7","","","","","","Updated_Hypo_MS4",0.292727607190392
"cg06943309","chr1",163392481,163392483,"+","1:163392482","1","","","","chr1:163392877-163393100","N_Shore","Updated_Hypo_MS4",0.262918725187787
"cg06968788","chr22",30877906,30877908,"-","22:30877907","22","rs35283870","SDC4P","TSS200","","","Updated_Hypo_MS4",0.361464172783779
"cg06968859","chr2",80724208,80724210,"-","2:80724209","2","","CTNNA2","Body","","","Updated_Hypo_MS4",0.31604208020412
"cg06976598","chr10",53639123,53639125,"+","10:53639124","10","","PRKG1","Body","","","Updated_Hypo_MS4",0.237982513517248
"cg07000713","chr12",62463440,62463442,"+","12:62463441","12","","FAM19A2","5'UTR","","","Updated_Hypo_MS4",0.360466892739063
"cg07020596","chr10",69146233,69146235,"+","10:69146234","10","","CTNNA3","Body","","","Updated_Hypo_MS4",0.283566164707633
"cg07026904","chr11",114832605,114832607,"+","11:114832606","11","","","","chr11:114831755-114832054","S_Shore","Updated_Hypo_MS4",0.342485651528302
"cg07041214","chr11",5968800,5968802,"-","11:5968801","11","rs75960749","OR56A3","1stExon","","","Updated_Hypo_MS4",0.293521314343084
"cg07103673","chr11",7092718,7092720,"+","11:7092719","11","","NLRP14","3'UTR","","","Updated_Hypo_MS4",0.264636254275062
"cg07138070","chr7",41137308,41137310,"-","7:41137309","7","","","","","","Updated_Hypo_MS4",0.485812797693718
"cg07172334","chr21",31655260,31655262,"+","21:31655261","21","","KRTAP24-1","5'UTR","","","Updated_Hypo_MS4",0.294672477496171
"cg07172334","chr21",31655260,31655262,"+","21:31655261","21","","KRTAP24-1","1stExon","","","Updated_Hypo_MS4",0.294672477496171
"cg07191839","chr1",149109518,149109520,"+","1:149109519","1","rs74432905","","","","","Updated_Hypo_MS4",0.233398815867657
"cg07236001","chr11",1392359,1392361,"+","11:1392360","11","","","","","","Updated_Hypo_MS4",0.332562996307147
"cg07237979","chr11",1874016,1874018,"+","11:1874017","11","","LSP1","TSS200","","","Updated_Hypo_MS4",0.33198953712172
"cg07270423","chr11",123242456,123242458,"+","11:123242457","11","","","","","","Updated_Hypo_MS4",0.268478304378583
"cg07295362","chr2",3061127,3061129,"-","2:3061128","2","","","","chr2:3063372-3063672","N_Shelf","Updated_Hypo_MS4",0.297234221372183
"cg07348418","chr1",44903329,44903331,"-","1:44903330","1","","RNF220","Body","","","Updated_Hypo_MS4",0.323561290940687
"cg07418387","chr1",240375463,240375465,"-","1:240375464","1","","FMN2","Body","chr1:240370859-240371526","S_Shelf","Updated_Hypo_MS4",0.221114273553599
"cg07525077","chr14",21359942,21359944,"-","14:21359943","14","","RNASE3","Body","","","Updated_Hypo_MS4",0.285610165193751
"cg07581070","chr6",40291047,40291049,"-","6:40291048","6","","","","","","Updated_Hypo_MS4",0.377741837871217
"cg07631533","chr16",13135564,13135566,"+","16:13135565","16","","SHISA9","Body","","","Updated_Hypo_MS4",0.263092668868197
"cg07696099","chr8",133573808,133573810,"+","8:133573809","8","","HPYR1","TSS200","","","Updated_Hypo_MS4",0.318433455539965
"cg07700925","chr10",129540266,129540268,"+","10:129540267","10","","","","chr10:129534410-129537366","S_Shelf","Updated_Hypo_MS4",0.25749540901692
"cg07776049","chr2",928869,928871,"+","2:928870","2","","","","","","Updated_Hypo_MS4",0.26721942605438
"cg07779423","chr5",1948551,1948553,"+","5:1948552","5","","","","chr5:1948994-1949227","N_Shore","Updated_Hypo_MS4",0.384912755458091
"cg07834418","chr10",107409738,107409740,"+","10:107409739","10","","","","","","Updated_Hypo_MS4",0.296948689505881
"cg07837085","chr1",160708989,160708991,"+","1:160708990","1","","SLAMF7","TSS200","","","Updated_Hypo_MS4",0.4524596344557
"cg07906724","chr8",42623945,42623947,"+","8:42623946","8","","CHRNA6","TSS1500","","","Updated_Hypo_MS4",0.351215300190693
"cg07945323","chr21",31972671,31972673,"+","21:31972672","21","","KRTAP6-2","TSS1500","","","Updated_Hypo_MS4",0.326158777938056
"cg07945323","chr21",31972671,31972673,"+","21:31972672","21","","KRTAP22-1","TSS1500","","","Updated_Hypo_MS4",0.326158777938056
"cg07998554","chr19",14785775,14785777,"+","19:14785776","19","","EMR3","TSS200","","","Updated_Hypo_MS4",0.194881882689183
"cg08097817","chr21",32255312,32255314,"-","21:32255313","21","","KRTAP11-1","TSS1500","","","Updated_Hypo_MS4",0.322135493149009
"cg08208133","chr11",113848160,113848162,"+","11:113848161","11","","HTR3A","TSS200","","","Updated_Hypo_MS4",0.297606692853893
"cg08208133","chr11",113848160,113848162,"+","11:113848161","11","","HTR3A","Body","","","Updated_Hypo_MS4",0.297606692853893
"cg08243465","chr20",56274035,56274037,"-","20:56274036","20","","PMEPA1","5'UTR","","","Updated_Hypo_MS4",0.319015520406018
"cg08243465","chr20",56274035,56274037,"-","20:56274036","20","","PMEPA1","Body","","","Updated_Hypo_MS4",0.319015520406018
"cg08246090","chr14",22370775,22370777,"+","14:22370776","14","","","","","","Updated_Hypo_MS4",0.311865539069782
"cg08267250","chr10",134872254,134872256,"+","10:134872255","10","","","","","","Updated_Hypo_MS4",0.23451059573257
"cg08273233","chr6",87724978,87724980,"+","6:87724979","6","","HTR1E","5'UTR","","","Updated_Hypo_MS4",0.263016817926366
"cg08273740","chr11",2322934,2322936,"+","11:2322935","11","","TSPAN32","TSS1500","","","Updated_Hypo_MS4",0.273634548161077
"cg08273740","chr11",2322934,2322936,"+","11:2322935","11","","C11orf21","Body","","","Updated_Hypo_MS4",0.273634548161077
"cg08284233","chr16",20370530,20370532,"+","16:20370531","16","","PDILT","3'UTR","","","Updated_Hypo_MS4",0.329059659380787
"cg08324862","chr12",77800654,77800656,"+","12:77800655","12","","","","","","Updated_Hypo_MS4",0.457086283320585
"cg08326879","chr10",133143120,133143122,"-","10:133143121","10","","","","chr10:133142495-133142842","S_Shore","Updated_Hypo_MS4",0.234542403495905
"cg08355045","chr6",80787528,80787530,"+","6:80787529","6","","","","","","Updated_Hypo_MS4",0.261138108551696
"cg08513547","chr5",150323557,150323559,"-","5:150323558","5","","LOC134466","Body","chr5:150325904-150326194","N_Shelf","Updated_Hypo_MS4",0.268380818715771
"cg08531890","chr5",136112614,136112616,"+","5:136112615","5","","","","","","Updated_Hypo_MS4",0.267870873036127
"cg08548498","chr20",43883545,43883547,"-","20:43883546","20","","SLPI","TSS1500","","","Updated_Hypo_MS4",0.274595918713653
"cg08565979","chr19",56849723,56849725,"-","19:56849724","19","","","","chr19:56850657-56851221","N_Shore","Updated_Hypo_MS4",0.372219648807137
"cg08566882","chr11",131348842,131348844,"+","11:131348843","11","","NTM","Body","","","Updated_Hypo_MS4",0.259473204145854
"cg08575894","chr11",45731358,45731360,"-","11:45731359","11","","","","","","Updated_Hypo_MS4",0.291741030548348
"cg08580187","chr16",84027870,84027872,"-","16:84027871","16","","NECAB2","Body","chr16:84029456-84029710","N_Shore","Updated_Hypo_MS4",0.361438188098347
"cg08584947","chr8",93468316,93468318,"-","8:93468317","8","","","","","","Updated_Hypo_MS4",0.372085064804464
"cg08610901","chr7",3186765,3186767,"-","7:3186766","7","","","","","","Updated_Hypo_MS4",0.408000638866657
"cg08656816","chr17",34207453,34207455,"+","17:34207454","17","","CCL5","TSS200","","","Updated_Hypo_MS4",0.353758190342524
"cg08756898","chr2",129228080,129228082,"-","2:129228081","2","","","","chr2:129228601-129228807","N_Shore","Updated_Hypo_MS4",0.27519166677453
"cg08765597","chr11",114490766,114490768,"+","11:114490767","11","","","","","","Updated_Hypo_MS4",0.297492631445807
"cg08767044","chr16",11678784,11678786,"+","16:11678785","16","","LITAF","5'UTR","chr16:11680008-11681275","N_Shore","Updated_Hypo_MS4",0.314334175516244
"cg08767044","chr16",11678784,11678786,"+","16:11678785","16","","LITAF","Body","chr16:11680008-11681275","N_Shore","Updated_Hypo_MS4",0.314334175516244
"cg08768395","chr5",33889460,33889462,"-","5:33889461","5","","ADAMTS12","Body","chr5:33892191-33892403","N_Shelf","Updated_Hypo_MS4",0.361519319023678
"cg08940252","chr15",93127079,93127081,"+","15:93127080","15","","","","","","Updated_Hypo_MS4",0.226745931610199
"cg08950105","chr9",96622334,96622336,"-","9:96622335","9","","","","chr9:96623110-96623481","N_Shore","Updated_Hypo_MS4",0.267645444925949
"cg09071280","chr1",39541951,39541953,"-","1:39541952","1","","","","","","Updated_Hypo_MS4",0.493959480389151
"cg09105442","chr10",1228438,1228440,"-","10:1228439","10","rs3833727","ADARB2","3'UTR","chr10:1230813-1231214","N_Shelf","Updated_Hypo_MS4",0.345080016754585
"cg09169356","chr10",2323381,2323383,"-","10:2323382","10","rs76846939","","","","","Updated_Hypo_MS4",0.235637028303795
"cg09170112","chr12",132102187,132102189,"+","12:132102188","12","","","","","","Updated_Hypo_MS4",0.270550997416842
"cg09175734","chr5",169510080,169510082,"+","5:169510081","5","","DOCK2","3'UTR","","","Updated_Hypo_MS4",0.295513535053004
"cg09249494","chr6",6588845,6588847,"-","6:6588846","6","rs977785","LY86","TSS200","","","Updated_Hypo_MS4",0.295063723445795
"cg09249494","chr6",6588845,6588847,"-","6:6588846","6","rs977785","LOC285780","Body","","","Updated_Hypo_MS4",0.295063723445795
"cg09287864","chr7",17274055,17274057,"-","7:17274056","7","","","","","","Updated_Hypo_MS4",0.510526549805912
"cg09361748","chr7",71682305,71682307,"+","7:71682306","7","","CALN1","Body","","","Updated_Hypo_MS4",0.246550530039705
"cg09373136","chr17",61933543,61933545,"-","17:61933544","17","rs9891741","TCAM1","TSS1500","","","Updated_Hypo_MS4",0.242224032738716
"cg09407319","chr3",117712277,117712279,"+","3:117712278","3","","","","chr3:117716100-117716564","N_Shelf","Updated_Hypo_MS4",0.259506737086988
"cg09492832","chr17",32966465,32966467,"+","17:32966466","17","","","","chr17:32964375-32965433","S_Shore","Updated_Hypo_MS4",0.193896199377194
"cg09511177","chr1",247737745,247737747,"+","1:247737746","1","","C1orf150","3'UTR","","","Updated_Hypo_MS4",0.317502464125118
"cg09584650","chr8",2002011,2002013,"+","8:2002012","8","","MYOM2","Body","chr8:2003809-2004059","N_Shore","Updated_Hypo_MS4",0.216019460264554
"cg09635036","chr16",77890948,77890950,"-","16:77890949","16","","VAT1L","Body","","","Updated_Hypo_MS4",0.271983920044214
"cg09640300","chr6",7641143,7641145,"-","6:7641144","6","","","","","","Updated_Hypo_MS4",0.322474208928238
"cg09696747","chr13",112053713,112053715,"-","13:112053714","13","rs58063206","","","chr13:112054425-112054644","N_Shore","Updated_Hypo_MS4",0.236922265239751
"cg09732255","chr2",2190277,2190279,"+","2:2190278","2","","MYT1L","5'UTR","chr2:2189200-2190138","S_Shore","Updated_Hypo_MS4",0.276219715735939
"cg09756014","chr16",89152365,89152367,"-","16:89152366","16","rs34518280","","","","","Updated_Hypo_MS4",0.248926442095524
"cg09884213","chr3",190788215,190788217,"+","3:190788216","3","","","","","","Updated_Hypo_MS4",0.510402072049355
"cg09900436","chr20",58630953,58630955,"+","20:58630954","20","","C20orf197","TSS200","","","Updated_Hypo_MS4",0.264917400607501
"cg09904358","chr10",24446910,24446912,"+","10:24446911","10","","KIAA1217","5'UTR","","","Updated_Hypo_MS4",0.367598267956786
"cg09942424","chr17",74913418,74913420,"-","17:74913419","17","rs61160858","MGAT5B","Body","","","Updated_Hypo_MS4",0.273546137063073
"cg10005270","chr10",128210035,128210037,"-","10:128210036","10","","C10orf90","TSS200","","","Updated_Hypo_MS4",0.24731698370611
"cg10027639","chr11",23501631,23501633,"-","11:23501632","11","","","","","","Updated_Hypo_MS4",0.369932544903285
"cg10092198","chr11",6129547,6129549,"+","11:6129548","11","","OR56B4","1stExon","","","Updated_Hypo_MS4",0.203991660274357
"cg10247405","chr4",3651232,3651234,"+","4:3651233","4","","","","","","Updated_Hypo_MS4",0.255213904096515
"cg10255237","chr12",90150621,90150623,"-","12:90150622","12","","","","","","Updated_Hypo_MS4",0.460674562730056
"cg10259521","chr15",79428572,79428574,"+","15:79428573","15","","","","","","Updated_Hypo_MS4",0.206363283253062
"cg10274029","chr16",85981335,85981337,"+","16:85981336","16","","","","chr16:85981652-85981965","N_Shore","Updated_Hypo_MS4",0.301141990033007
"cg10274208","chr13",41351043,41351045,"-","13:41351044","13","","","","","","Updated_Hypo_MS4",0.251065750914593
"cg10316357","chr1",160768000,160768002,"-","1:160768001","1","rs35237586","LY9","Body","chr1:160771683-160771953","N_Shelf","Updated_Hypo_MS4",0.231740974677278
"cg10318528","chr4",154702460,154702462,"+","4:154702461","4","","SFRP2","3'UTR","","","Updated_Hypo_MS4",0.225286767196393
"cg10340048","chr8",74258683,74258685,"-","8:74258684","8","","","","","","Updated_Hypo_MS4",0.559170293512543
"cg10423842","chr6",56200768,56200770,"-","6:56200769","6","","","","","","Updated_Hypo_MS4",0.307657616971388
"cg10440696","chr11",5809910,5809912,"-","11:5809911","11","","OR52N1","1stExon","","","Updated_Hypo_MS4",0.308331881417348
"cg10471825","chr16",73557322,73557324,"+","16:73557323","16","","","","","","Updated_Hypo_MS4",0.293094989189973
"cg10520543","chr12",125810687,125810689,"-","12:125810688","12","","TMEM132B","TSS1500","","","Updated_Hypo_MS4",0.212793557297514
"cg10529845","chr16",49522336,49522338,"+","16:49522337","16","","","","chr16:49526248-49526664","N_Shelf","Updated_Hypo_MS4",0.215921047232861
"cg10723431","chr14",66460412,66460414,"-","14:66460413","14","rs78556313","","","","","Updated_Hypo_MS4",0.326473205507583
"cg10752406","chr19",827775,827777,"-","19:827776","19","","AZU1","TSS200","","","Updated_Hypo_MS4",0.272052680354256
"cg10765655","chr8",58188908,58188910,"+","8:58188909","8","","","","chr8:58192499-58192884","N_Shelf","Updated_Hypo_MS4",0.29457748805221
"cg10821830","chr2",79823716,79823718,"-","2:79823717","2","rs79508191","CTNNA2","5'UTR","","","Updated_Hypo_MS4",0.285610492883082
"cg10828316","chr14",78869351,78869353,"+","14:78869352","14","","NRXN3","TSS1500","","","Updated_Hypo_MS4",0.250301310712918
"cg10833551","chr11",30649516,30649518,"-","11:30649517","11","","","","","","Updated_Hypo_MS4",0.344630633476552
"cg10888900","chr10",134872086,134872088,"+","10:134872087","10","","","","","","Updated_Hypo_MS4",0.220137260853524
"cg10898024","chr2",40266365,40266367,"-","2:40266366","2","","","","","","Updated_Hypo_MS4",0.372611055915061
"cg10919344","chr11",59210633,59210635,"-","11:59210634","11","","OR5A1","TSS200","","","Updated_Hypo_MS4",0.24612230621551
"cg10937408","chr17",77478568,77478570,"+","17:77478569","17","","HRNBP3","TSS200","","","Updated_Hypo_MS4",0.241622620585437
"cg11069071","chr14",101525464,101525466,"+","14:101525465","14","","MIR496","TSS1500","","","Updated_Hypo_MS4",0.222594646134498
"cg11069071","chr14",101525464,101525466,"+","14:101525465","14","","MIR154","TSS1500","","","Updated_Hypo_MS4",0.222594646134498
"cg11127249","chr10",6104629,6104631,"-","10:6104630","10","","IL2RA","TSS1500","","","Updated_Hypo_MS4",0.267973037655746
"cg11281110","chr13",112335775,112335777,"+","13:112335776","13","","","","","","Updated_Hypo_MS4",0.282434028986218
"cg11283289","chr11",125616167,125616169,"+","11:125616168","11","","PATE1","TSS200","","","Updated_Hypo_MS4",0.208399562743022
"cg11300147","chr12",7596702,7596704,"+","12:7596703","12","","CD163L1","1stExon","chr12:7592406-7593030","S_Shelf","Updated_Hypo_MS4",0.279149559231733
"cg11303839","chr7",75405966,75405968,"-","7:75405967","7","","CCL26","5'UTR","","","Updated_Hypo_MS4",0.546600152791478
"cg11474135","chr4",113933300,113933302,"-","4:113933301","4","","ANK2","Body","","","Updated_Hypo_MS4",0.311732036710076
"cg11584519","chr5",16175866,16175868,"+","5:16175867","5","","MARCH11","Body","chr5:16179064-16180420","N_Shelf","Updated_Hypo_MS4",0.32766172738425
"cg11601663","chr10",15666819,15666821,"-","10:15666820","10","","ITGA8","Body","","","Updated_Hypo_MS4",0.202915251067661
"cg11632679","chr20",56759081,56759083,"-","20:56759082","20","","","","chr20:56754677-56755105","S_Shelf","Updated_Hypo_MS4",0.261108473452025
"cg11653519","chr10",125222789,125222791,"-","10:125222790","10","","","","","","Updated_Hypo_MS4",0.382800969441342
"cg11684549","chr17",79122242,79122244,"-","17:79122243","17","","AATK","Body","","","Updated_Hypo_MS4",0.330836364162135
"cg11694120","chr17",8661812,8661814,"+","17:8661813","17","","SPDYE4","5'UTR","","","Updated_Hypo_MS4",0.221172167810401
"cg11694120","chr17",8661812,8661814,"+","17:8661813","17","","SPDYE4","1stExon","","","Updated_Hypo_MS4",0.221172167810401
"cg11725972","chr7",155191844,155191846,"-","7:155191845","7","","","","","","Updated_Hypo_MS4",0.336163115362165
"cg11780042","chr14",101493251,101493253,"+","14:101493252","14","","MIR329-2","TSS200","","","Updated_Hypo_MS4",0.353908718146817
"cg11848788","chr1",39041398,39041400,"-","1:39041399","1","","","","chr1:39044059-39044561","N_Shelf","Updated_Hypo_MS4",0.333210232596533
"cg11859922","chr1",240776315,240776317,"+","1:240776316","1","","GREM2","TSS1500","","","Updated_Hypo_MS4",0.252418381290605
"cg11910782","chr19",40266790,40266792,"+","19:40266791","19","","LEUTX","TSS1500","","","Updated_Hypo_MS4",0.330644731914829
"cg11924517","chr6",52050596,52050598,"+","6:52050597","6","","IL17A","TSS1500","","","Updated_Hypo_MS4",0.314317388241389
"cg11956804","chr11",2086682,2086684,"+","11:2086683","11","","","","","","Updated_Hypo_MS4",0.220970110068542
"cg11986385","chr11",19628827,19628829,"-","11:19628828","11","","NAV2","Body","","","Updated_Hypo_MS4",0.332135884226392
"cg12019893","chr3",42950089,42950091,"+","3:42950090","3","","ZNF662","Body","chr3:42947480-42948170","S_Shore","Updated_Hypo_MS4",0.510936492086525
"cg12024564","chr12",62546632,62546634,"-","12:62546633","12","","FAM19A2","5'UTR","","","Updated_Hypo_MS4",0.366379467999611
"cg12024826","chr10",49893335,49893337,"+","10:49893336","10","","WDFY4","TSS200","","","Updated_Hypo_MS4",0.306412746980379
"cg12082048","chr2",5576194,5576196,"+","2:5576195","2","","","","","","Updated_Hypo_MS4",0.407199350377104
"cg12256469","chr7",158376837,158376839,"-","7:158376838","7","","PTPRN2","Body","chr7:158379328-158381221","N_Shelf","Updated_Hypo_MS4",0.246647737622512
"cg12305265","chr6",162065570,162065572,"+","6:162065571","6","","PARK2","Body","chr6:162066917-162067689","N_Shore","Updated_Hypo_MS4",0.247313085954684
"cg12311175","chr4",118975503,118975505,"-","4:118975504","4","","NDST3","Body","","","Updated_Hypo_MS4",0.319600306173631
"cg12311837","chr4",164391777,164391779,"-","4:164391778","4","","","","chr4:164394674-164395062","N_Shelf","Updated_Hypo_MS4",0.303267616765991
"cg12403132","chr12",17551395,17551397,"+","12:17551396","12","","","","","","Updated_Hypo_MS4",0.326101538772312
"cg12416080","chr3",26750854,26750856,"+","3:26750855","3","","LRRC3B","5'UTR","","","Updated_Hypo_MS4",0.344534847905418
"cg12423733","chr6",29454622,29454624,"+","6:29454623","6","","MAS1L","1stExon","","","Updated_Hypo_MS4",0.309429566101273
"cg12441694","chr13",106572968,106572970,"+","13:106572969","13","","","","","","Updated_Hypo_MS4",0.290362650221355
"cg12463722","chr17",56232498,56232500,"-","17:56232499","17","","OR4D1","TSS200","chr17:56234321-56234827","N_Shore","Updated_Hypo_MS4",0.183010936781215
"cg12480053","chr13",105792345,105792347,"-","13:105792346","13","","","","","","Updated_Hypo_MS4",0.334823639846044
"cg12510512","chr7",1717186,1717188,"-","7:1717187","7","","","","","","Updated_Hypo_MS4",0.293463195993817
"cg12510717","chr13",92055236,92055238,"-","13:92055237","13","","GPC5","Body","chr13:92051153-92051716","S_Shelf","Updated_Hypo_MS4",0.317789610110464
"cg12513352","chr10",11204957,11204959,"-","10:11204958","10","","CUGBP2","Body","chr10:11207178-11207980","N_Shelf","Updated_Hypo_MS4",0.231488813884889
"cg12593634","chr11",5143554,5143556,"-","11:5143555","11","","OR52A4","TSS1500","","","Updated_Hypo_MS4",0.282106225077177
"cg12636835","chr22",26776310,26776312,"-","22:26776311","22","","SEZ6L","3'UTR","","","Updated_Hypo_MS4",0.301934234768787
"cg12656085","chr2",85173359,85173361,"-","2:85173360","2","","","","","","Updated_Hypo_MS4",0.466909608894777
"cg12697139","chr1",209571888,209571890,"-","1:209571889","1","","","","","","Updated_Hypo_MS4",0.360294968290099
"cg12769118","chr1",247712376,247712378,"+","1:247712377","1","","C1orf150","TSS200","","","Updated_Hypo_MS4",0.359161644295583
"cg12797746","chr8",1110519,1110521,"-","8:1110520","8","","","","chr8:1113058-1114073","N_Shelf","Updated_Hypo_MS4",0.264763370390344
"cg12810800","chr2",159788344,159788346,"-","2:159788345","2","","","","","","Updated_Hypo_MS4",0.320605880722254
