probeID,CpG_chrm,CpG_beg,CpG_end,probe_strand,CpG_sites_hg19,CHR,Probe_SNPs,gene,TSS_position,UCSC_CpG_Islands_Name,Feature_Type,signature
cg02939781,chr3,183208856,183208858,+,3:183208857,3,,KLHL6,3'UTR,chr3:183209667-183209943,N_Shore,Hypo.MS1
cg02940003,chr3,186174293,186174295,-,3:186174294,3,,,,,,Hypo.MS6
cg02940362,chr11,5009200,5009202,-,11:5009201,11,,MMP26,TSS1500,,,Hypo.MS3
cg02943456,chr8,33866593,33866595,-,8:33866594,8,,,,,,Hypo.MS7
cg02954324,chr3,67045042,67045044,+,3:67045043,3,,,,chr3:67048455-67049273,N_Shelf,Hypo.MS6
cg02961004,chr10,57387701,57387703,-,10:57387702,10,,,,chr10:57388068-57388528,N_Shore,Hyper.MS1
cg02970836,chr16,3237990,3237992,+,16:3237991,16,,,,chr16:3238805-3239492,N_Shore,Hyper.MS1
cg02973171,chr11,82443613,82443615,+,11:82443614,11,,FAM181B,1stExon,chr11:82443435-82444976,Island,Hyper.MS3
cg02973993,chr20,31332993,31332995,+,20:31332994,20,,COMMD7,TSS1500,chr20:31330957-31331410,S_Shore,Hypo.MS1
cg02981942,chr16,54574604,54574606,-,16:54574605,16,,,,,,Hypo.MS6
cg02989940,chr16,31539233,31539235,-,16:31539234,16,,AHSP,5'UTR,,,Hypo.MS5
cg02989940,chr16,31539233,31539235,-,16:31539234,16,,AHSP,1stExon,,,Hypo.MS5
cg02991338,chr14,29236016,29236018,+,14:29236017,14,,FOXG1,TSS1500,chr14:29236835-29237832,N_Shore,Hyper.MS1
cg02991888,chr19,54260013,54260015,+,19:54260014,19,rs2569389,MIR516A1,Body,,,Hypo.MS2
cg02991888,chr19,54260013,54260015,+,19:54260014,19,rs2569389,MIR1283-2,TSS1500,,,Hypo.MS2
cg02993070,chr14,53419110,53419112,-,14:53419111,14,,FERMT2,TSS1500,chr14:53417108-53418339,S_Shore,Hyper.MS2
cg02994956,chr22,29876533,29876535,+,22:29876534,22,,NEFH,1stExon,chr22:29875919-29877242,Island,Hyper.MS3
cg03000596,chr7,73624372,73624374,+,7:73624373,7,,LAT2,1stExon,,,Hypo.MS1
cg03000596,chr7,73624372,73624374,+,7:73624373,7,,LAT2,5'UTR,,,Hypo.MS1
cg03019112,chr14,101518519,101518521,+,14:101518520,14,,MIR487A,TSS1500,,,Hypo.MS6
cg03021100,chr3,31542062,31542064,+,3:31542063,3,,,,,,Hypo.MS4
cg03021296,chr7,158060613,158060615,-,7:158060614,7,,PTPRN2,Body,chr7:158060894-158061100,N_Shore,Hypo.MS1
cg03032677,chr6,36648793,36648795,-,6:36648794,6,rs3176336,CDKN1A,5'UTR,chr6:36646244-36648465,S_Shore,Hypo.MS1
cg03045635,chr4,9783197,9783199,+,4:9783198,4,,DRD5,TSS200,chr4:9783035-9784960,Island,Hyper.MS3
cg03048654,chr10,118893137,118893139,+,10:118893138,10,,VAX1,3'UTR,chr10:118893527-118894432,N_Shore,Hyper.MS1
cg03048654,chr10,118893137,118893139,+,10:118893138,10,,VAX1,Body,chr10:118893527-118894432,N_Shore,Hyper.MS1
cg03049693,chr11,89465189,89465191,+,11:89465190,11,,,,chr11:89463449-89463690,S_Shore,Hypo.MS4
cg03049917,chr15,88752390,88752392,-,15:88752391,15,,NTRK3,Body,,,Hypo.MS7
cg03058660,chr19,48919197,48919199,-,19:48919198,19,,GRIN2D,Body,chr19:48919173-48919412,Island,Hyper.MS1
cg03063658,chr2,109949131,109949133,-,2:109949132,2,,SH3RF3,Body,,,Hypo.MS3
cg03064100,chr2,46720800,46720802,+,2:46720801,2,,,,,,Hypo.MS1
cg03065107,chr2,31497154,31497156,-,2:31497155,2,,,,,,Hypo.MS2
cg03068446,chr11,89656188,89656190,-,11:89656189,11,,LOC729384,TSS1500,,,Hypo.MS3
cg03078269,chr12,54354973,54354975,-,12:54354974,12,,,,chr12:54354529-54355491,Island,Hyper.MS1
cg03080336,chr4,186033377,186033379,-,4:186033378,4,,,,,,Hypo.MS1
cg03081173,chr6,31166501,31166503,-,6:31166502,6,rs9404982,HCG27,Body,chr6:31165412-31165923,S_Shore,Hypo.MS7
cg03082523,chr1,3155964,3155966,-,1:3155965,1,,PRDM16,Body,chr1:3157509-3158300,N_Shore,Hypo.MS5
cg03084838,chr16,751602,751604,-,16:751603,16,,FBXL16,5'UTR,chr16:750398-751451,S_Shore,Hypo.MS2
cg03091551,chr14,57275966,57275968,+,14:57275967,14,,OTX2,5'UTR,chr14:57274607-57276840,Island,Hyper.MS1
cg03099208,chr7,8474543,8474545,+,7:8474544,7,,NXPH1,5'UTR,chr7:8473139-8475199,Island,Hyper.MS3
cg03099728,chr19,58716134,58716136,-,19:58716135,19,,ZNF274,5'UTR,chr19:58715220-58716033,S_Shore,Hyper.MS2
cg03099728,chr19,58716134,58716136,-,19:58716135,19,,ZNF274,Body,chr19:58715220-58716033,S_Shore,Hyper.MS2
cg03100024,chr19,42571401,42571403,+,19:42571402,19,,GRIK5,TSS1500,,,Hypo.MS2
cg03102663,chr4,180998203,180998205,+,4:180998204,4,,,,,,Hypo.MS7
cg03109660,chr4,37684504,37684506,-,4:37684505,4,,RELL1,Body,chr4:37687401-37688613,N_Shelf,Hypo.MS1
cg03111498,chr20,25062859,25062861,+,20:25062860,20,,VSX1,TSS200,chr20:25061761-25062928,Island,Hyper.MS3
cg03114057,chr17,72362301,72362303,+,17:72362302,17,,GPR142,TSS1500,,,Hypo.MS5
cg03114584,chr4,1534310,1534312,-,4:1534311,4,,,,chr4:1534542-1534987,N_Shore,Hypo.MS3
cg03120555,chr7,630472,630474,-,7:630473,7,rs12720011,PRKAR1B,Body,chr7:631836-632135,N_Shore,Hyper.MS2
cg03126579,chr19,3822188,3822190,-,19:3822189,19,,ZFR2,Body,chr19:3821974-3822278,Island,Hyper.MS3
cg03128029,chr2,203143287,203143289,-,2:203143288,2,,NOP58,Body,,,Hypo.MS3
cg03130530,chr2,6634541,6634543,-,2:6634542,2,rs73143094,,,chr2:6635949-6636160,N_Shore,Hypo.MS4
cg03130910,chr1,234908225,234908227,-,1:234908226,1,rs79672239,,,,,Hypo.MS3
cg03132551,chr7,55411177,55411179,-,7:55411178,7,rs10653365,,,chr7:55411965-55412772,N_Shore,Hypo.MS4
cg03134809,chr11,1365010,1365012,+,11:1365011,11,,,,,,Hypo.MS2
cg03147185,chr2,97008029,97008031,-,2:97008030,2,,NCAPH,Body,,,Hypo.MS1
cg03154226,chr11,55563400,55563402,+,11:55563401,11,,OR5D14,1stExon,,,Hypo.MS6
cg03155345,chr4,11642409,11642411,-,4:11642410,4,,,,,,Hypo.MS4
cg03156893,chr16,23847674,23847676,+,16:23847675,16,,PRKCB,Body,chr16:23846941-23848102,Island,Hyper.MS1
cg03165356,chr2,216882346,216882348,-,2:216882347,2,,,,chr2:216877899-216878352,S_Shelf,Hypo.MS1
cg03166753,chr6,38683220,38683222,+,6:38683221,6,,,,chr6:38682949-38683265,Island,Hyper.MS3
cg03171770,chr10,43393727,43393729,+,10:43393728,10,,,,chr10:43393476-43394417,Island,Hyper.MS3
cg03175771,chr16,30661533,30661535,-,16:30661534,16,,PRR14,TSS1500,chr16:30661983-30663253,N_Shore,Hyper.MS1
cg03177042,chr6,166422670,166422672,+,6:166422671,6,,,,chr6:166421891-166422241,S_Shore,Hyper.MS3
cg03181104,chr17,56324082,56324084,+,17:56324083,17,,LPO,Body,chr17:56326685-56327262,N_Shelf,Hypo.MS2
cg03184290,chr4,111550665,111550667,+,4:111550666,4,,PITX2,Body,chr4:111549879-111550203,S_Shore,Hyper.MS1
cg03191504,chr2,101922426,101922428,+,2:101922427,2,,RNF149,Body,chr2:101924364-101925357,N_Shore,Hypo.MS1
cg03193096,chr8,56363710,56363712,+,8:56363711,8,,XKR4,Body,chr8:56361856-56362168,S_Shore,Hypo.MS6
cg03193096,chr8,56363710,56363712,+,8:56363711,8,,SBF1P1,Body,chr8:56361856-56362168,S_Shore,Hypo.MS6
cg03197032,chr15,36708406,36708408,-,15:36708407,15,rs78881351,,,,,Hypo.MS4
cg03200309,chr12,48722989,48722991,-,12:48722990,12,,H1FNT,1stExon,chr12:48723323-48723876,N_Shore,Hypo.MS4
cg03200309,chr12,48722989,48722991,-,12:48722990,12,,H1FNT,5'UTR,chr12:48723323-48723876,N_Shore,Hypo.MS4
cg03202564,chr10,50977129,50977131,+,10:50977130,10,,,,chr10:50976347-50977137,Island,Hyper.MS2
cg03207391,chr19,18497200,18497202,-,19:18497201,19,,GDF15,1stExon,chr19:18497063-18497269,Island,Hypo.MS4
cg03207666,chr7,27183949,27183951,-,7:27183950,7,,HOXA5,TSS1500,chr7:27182613-27185562,Island,Hyper.MS2
cg03214622,chr17,77115632,77115634,-,17:77115633,17,,HRNBP3,5'UTR,,,Hypo.MS2
cg03217795,chr16,23847555,23847557,-,16:23847556,16,rs75964872,PRKCB,1stExon,chr16:23846941-23848102,Island,Hyper.MS3
cg03219658,chr12,114863052,114863054,-,12:114863053,12,,,,,,Hypo.MS2
cg03220543,chr1,18092929,18092931,-,1:18092930,1,,ACTL8,5'UTR,,,Hypo.MS2
cg03221073,chr1,186157554,186157556,+,1:186157555,1,,HMCN1,Body,,,Hypo.MS1
cg03221073,chr1,186157554,186157556,+,1:186157555,1,,MIR548F1,Body,,,Hypo.MS1
cg03224572,chr8,97172011,97172013,-,8:97172012,8,,GDF6,Body,chr8:97171805-97172022,Island,Hyper.MS3
cg03225787,chr1,158518362,158518364,-,1:158518363,1,rs75775105,OR6Y1,TSS1500,,,Hypo.MS6
cg03226435,chr1,3058198,3058200,-,1:3058199,1,rs10909884,PRDM16,Body,chr1:3059050-3059268,N_Shore,Hypo.MS5
cg03234702,chr6,26225538,26225540,-,6:26225539,6,,HIST1H3E,1stExon,chr6:26225386-26225790,Island,Hyper.MS3
cg03240301,chr7,23387382,23387384,-,7:23387383,7,,IGF2BP3,Body,,,Hypo.MS1
cg03240663,chr19,52150546,52150548,-,19:52150547,19,,SIGLEC14,TSS1500,,,Hypo.MS2
cg03252770,chr4,154354353,154354355,-,4:154354354,4,rs59967615,,,,,Hypo.MS5
cg03254336,chr10,114635838,114635840,-,10:114635839,10,,,,,,Hypo.MS1
cg03257417,chr1,111189870,111189872,-,1:111189871,1,,,,,,Hypo.MS2
cg03260530,chr17,81049493,81049495,-,17:81049494,17,rs9913137,METRNL,Body,chr17:81050692-81050986,N_Shore,Hyper.MS2
cg03262627,chr8,57029876,57029878,-,8:57029877,8,,,,chr8:57030196-57030884,N_Shore,Hypo.MS5
cg03263337,chr8,62199081,62199083,-,8:62199082,8,,CLVS1,TSS1500,,,Hypo.MS2
cg03265268,chr8,11839763,11839765,+,8:11839764,8,,DEFB135,TSS200,,,Hypo.MS1
cg03266686,chr2,47716096,47716098,-,2:47716097,2,,,,,,Hypo.MS3
cg03269363,chr22,50007724,50007726,+,22:50007725,22,,,,chr22:50008958-50009712,N_Shore,Hypo.MS4
cg03271520,chr17,3100170,3100172,-,17:3100171,17,,OR1A2,TSS1500,,,Hypo.MS2
cg03272310,chr17,39704453,39704455,-,17:39704454,17,rs1809202,,,chr17:39705045-39705332,N_Shore,Hypo.MS2
cg03274391,chr3,22413231,22413233,-,3:22413232,3,rs77670830,,,chr3:22413492-22414365,N_Shore,Hypo.MS4
cg03275459,chr15,95889927,95889929,-,15:95889928,15,,,,,,Hypo.MS6
cg03276000,chr7,154087974,154087976,-,7:154087975,7,,DPP6,Body,,,Hypo.MS5
cg03276883,chr4,104021582,104021584,-,4:104021583,4,,BDH2,TSS1500,,,Hypo.MS4
cg03281194,chr1,2776971,2776973,-,1:2776972,1,,,,chr1:2777157-2777361,N_Shore,Hypo.MS2
cg03281661,chr16,3239457,3239459,+,16:3239458,16,,,,chr16:3238805-3239492,Island,Hyper.MS1
cg03283235,chr12,130354827,130354829,-,12:130354828,12,,TMEM132D,Body,,,Hypo.MS2
cg03287574,chr5,1886955,1886957,+,5:1886956,5,,,,chr5:1881924-1887743,Island,Hyper.MS3
cg03290131,chr10,112263830,112263832,-,10:112263831,10,,DUSP5,Body,,,Hypo.MS2
cg03290522,chr15,80634247,80634249,-,15:80634248,15,,,,,,Hypo.MS2
cg03292377,chr2,6767657,6767659,-,2:6767658,2,,,,,,Hypo.MS3
cg03293308,chr2,223065389,223065391,+,2:223065390,2,,PAX3,3'UTR,,,Hypo.MS2
cg03295542,chr8,89777218,89777220,+,8:89777219,8,,,,,,Hypo.MS7
cg03296810,chr15,88826453,88826455,-,15:88826454,15,,,,,,Hypo.MS7
cg03304660,chr7,157586218,157586220,+,7:157586219,7,,PTPRN2,Body,chr7:157586711-157587112,N_Shore,Hypo.MS2
cg03306374,chr16,23847324,23847326,+,16:23847325,16,,PRKCB,1stExon,chr16:23846941-23848102,Island,Hyper.MS1
cg03306374,chr16,23847324,23847326,+,16:23847325,16,,PRKCB,5'UTR,chr16:23846941-23848102,Island,Hyper.MS1
cg03308038,chr10,132866575,132866577,-,10:132866576,10,,,,,,Hypo.MS5
cg03308092,chr22,17488274,17488276,+,22:17488275,22,,GAB4,Body,chr22:17488274-17489194,Island,Hyper.MS3
cg03308120,chr7,157933783,157933785,-,7:157933784,7,,PTPRN2,Body,chr7:157937614-157937841,N_Shelf,Hypo.MS3
cg03308240,chr16,34403970,34403972,-,16:34403971,16,rs2170422,UBE2MP1,Body,chr16:34404515-34404780,N_Shore,Hypo.MS4
cg03308652,chr3,62354990,62354992,-,3:62354991,3,,,,chr3:62354291-62355012,Island,Hyper.MS1
cg03309770,chr16,10912477,10912479,+,16:10912478,16,,FAM18A,5'UTR,chr16:10912159-10912719,Island,Hyper.MS2
cg03309770,chr16,10912477,10912479,+,16:10912478,16,,FAM18A,1stExon,chr16:10912159-10912719,Island,Hyper.MS2
cg03312565,chr1,4577364,4577366,-,1:4577365,1,rs79814943,,,,,Hypo.MS6
cg03315346,chr1,19109543,19109545,-,1:19109544,1,,,,chr1:19110720-19110932,N_Shore,Hypo.MS7
cg03318904,chr22,39801521,39801523,+,22:39801522,22,,MAP3K7IP1,Body,,,Hyper.MS2
cg03319695,chr18,59156626,59156628,+,18:59156627,18,,CDH20,TSS1500,,,Hypo.MS2
cg03326307,chr3,44751271,44751273,-,3:44751272,3,,,,chr3:44754099-44754399,N_Shelf,Hypo.MS6
cg03326762,chr1,75597303,75597305,+,1:75597304,1,,LHX8,Body,chr1:75595813-75596162,S_Shore,Hyper.MS1
cg03328961,chr5,22141683,22141685,-,5:22141684,5,rs71609239,CDH12,5'UTR,,,Hypo.MS3
cg03328961,chr5,22141683,22141685,-,5:22141684,5,rs71609239,PMCHL1,TSS1500,,,Hypo.MS3
cg03332469,chr7,156796966,156796968,+,7:156796967,7,,,,chr7:156795355-156799394,Island,Hyper.MS1
cg03338754,chr13,113765396,113765398,-,13:113765397,13,,F7,Body,chr13:113761566-113765534,Island,Hyper.MS1
cg03339817,chr2,128458280,128458282,+,2:128458281,2,,SFT2D3,TSS1500,chr2:128458844-128459937,N_Shore,Hypo.MS1
cg03343128,chr1,247712139,247712141,-,1:247712140,1,,C1orf150,TSS1500,,,Hypo.MS3
cg03345454,chr2,202901427,202901429,+,2:202901428,2,,FZD7,1stExon,chr2:202897386-202901046,S_Shore,Hyper.MS2
cg03345454,chr2,202901427,202901429,+,2:202901428,2,,FZD7,3'UTR,chr2:202897386-202901046,S_Shore,Hyper.MS2
cg03346692,chr6,127911361,127911363,+,6:127911362,6,,C6orf58,Body,,,Hypo.MS5
cg03354554,chr11,9781411,9781413,-,11:9781412,11,rs12787856,,,chr11:9779592-9780470,S_Shore,Hypo.MS1
cg03361164,chr6,100915804,100915806,+,6:100915805,6,,,,chr6:100915602-100915883,Island,Hyper.MS2
cg03363161,chr3,147139183,147139185,-,3:147139184,3,rs13085741,,,chr3:147138916-147139564,Island,Hyper.MS1
cg03365733,chr6,100055661,100055663,+,6:100055662,6,,PRDM13,Body,chr6:100055641-100055866,Island,Hyper.MS1
cg03366891,chr16,24372873,24372875,+,16:24372874,16,,CACNG3,Body,,,Hypo.MS4
cg03368099,chr7,27184520,27184522,+,7:27184521,7,,HOXA5,TSS1500,chr7:27182613-27185562,Island,Hyper.MS2
cg03369957,chr7,100252862,100252864,+,7:100252863,7,,ACTL6B,Body,chr7:100253782-100254150,N_Shore,Hypo.MS2
cg03384920,chr2,79587307,79587309,+,2:79587308,2,,,,,,Hypo.MS2
cg03388266,chr2,234891488,234891490,-,2:234891489,2,,TRPM8,Body,,,Hypo.MS1
cg03404572,chr18,61329251,61329253,+,18:61329252,18,,SERPINB3,TSS200,,,Hypo.MS3
cg03405909,chr11,31845638,31845640,+,11:31845639,11,,,,chr11:31847132-31847958,N_Shore,Hyper.MS1
cg03421104,chr1,5793846,5793848,+,1:5793847,1,,,,chr1:5793557-5793784,S_Shore,Hypo.MS3
cg03421657,chr1,166039753,166039755,+,1:166039754,1,,FAM78B,Body,,,Hypo.MS6
cg03422911,chr1,237205294,237205296,+,1:237205295,1,,RYR2,TSS1500,chr1:237205126-237206644,Island,Hyper.MS1
cg03424345,chr12,130411271,130411273,-,12:130411272,12,,,,,,Hypo.MS6
cg03427841,chr17,16610317,16610319,-,17:16610318,17,rs2621614,CCDC144A,Body,,,Hypo.MS6
cg03428399,chr1,165174747,165174749,-,1:165174748,1,rs77557846,LMX1A,Body,,,Hypo.MS1
cg03431846,chr14,24641182,24641184,+,14:24641183,14,,REC8,TSS200,chr14:24641053-24642220,Island,Hyper.MS2
cg03437887,chr2,22605687,22605689,-,2:22605688,2,,,,,,Hypo.MS2
cg03439301,chr7,136190455,136190457,+,7:136190456,7,,,,,,Hypo.MS2
cg03447554,chr11,43094024,43094026,-,11:43094025,11,rs79479935,,,,,Hypo.MS6
cg03449150,chr1,153085648,153085650,+,1:153085649,1,,SPRR2F,5'UTR,,,Hypo.MS4
cg03457195,chr2,162284205,162284207,+,2:162284206,2,,,,chr2:162283581-162284677,Island,Hyper.MS2
cg03457729,chr15,89953294,89953296,+,15:89953295,15,,,,chr15:89954603-89955182,N_Shore,Hyper.MS3
cg03458344,chr1,170964476,170964478,+,1:170964477,1,,C1orf129,Body,,,Hypo.MS6
cg03466587,chr3,187704481,187704483,-,3:187704482,3,,,,,,Hypo.MS1
cg03469655,chr6,123384999,123385001,+,6:123385000,6,,CLVS2,3'UTR,,,Hypo.MS1
cg03478444,chr16,49407464,49407466,-,16:49407465,16,,C16orf78,TSS1500,,,Hypo.MS2
cg03478610,chr3,135702109,135702111,+,3:135702110,3,,PPP2R3A,5'UTR,,,Hypo.MS7
cg03480068,chr10,1749546,1749548,-,10:1749547,10,,ADARB2,Body,,,Hypo.MS4
cg03487935,chr7,51925283,51925285,-,7:51925284,7,,,,,,Hypo.MS5
cg03490759,chr14,100141887,100141889,+,14:100141888,14,,HHIPL1,Body,chr14:100141601-100142051,Island,Hyper.MS2
cg03496114,chr17,80329458,80329460,+,17:80329459,17,,,,chr17:80329066-80330208,Island,Hyper.MS3
cg03497652,chr16,4751568,4751570,+,16:4751569,16,,ANKS3,Body,,,Hyper.MS2
cg03498081,chr16,80061356,80061358,-,16:80061357,16,,,,,,Hypo.MS3
cg03502002,chr18,74962132,74962134,+,18:74962133,18,,GALR1,5'UTR,chr18:74961556-74963822,Island,Hyper.MS1
cg03502002,chr18,74962132,74962134,+,18:74962133,18,,GALR1,1stExon,chr18:74961556-74963822,Island,Hyper.MS1
cg03503785,chr16,23962571,23962573,+,16:23962572,16,,PRKCB,Body,,,Hypo.MS6
cg03503942,chr20,1715295,1715297,-,20:1715296,20,,,,chr20:1716330-1716653,N_Shore,Hypo.MS5
cg03506028,chr7,35494688,35494690,-,7:35494689,7,,,,chr7:35494213-35494702,Island,Hyper.MS3
cg03507064,chr3,84259271,84259273,-,3:84259272,3,rs9855231,,,,,Hypo.MS7
cg03512637,chr6,33215684,33215686,-,6:33215685,6,,,,chr6:33216103-33217463,N_Shore,Hyper.MS3
cg03517998,chr7,38726757,38726759,+,7:38726758,7,,FAM183B,TSS200,,,Hypo.MS7
cg03518729,chr1,235147743,235147745,+,1:235147744,1,,,,,,Hypo.MS1
cg03520342,chr6,32920783,32920785,+,6:32920784,6,,HLA-DMA,1stExon,,,Hypo.MS1
cg03520471,chr3,97753622,97753624,-,3:97753623,3,,GABRR3,Body,,,Hypo.MS5
cg03520644,chr1,103574522,103574524,-,1:103574523,1,,COL11A1,TSS1500,,,Hyper.MS1
cg03526459,chr1,146549939,146549941,+,1:146549940,1,,,,chr1:146549850-146550075,Island,Hyper.MS1
cg03527802,chr16,29819930,29819932,+,16:29819931,16,,MAZ,Body,chr16:29818681-29819554,S_Shore,Hypo.MS1
cg03531247,chr2,50573484,50573486,+,2:50573485,2,,NRXN1,Body,chr2:50574045-50574817,N_Shore,Hyper.MS3
cg03532926,chr7,153584838,153584840,+,7:153584839,7,,DPP6,Body,chr7:153583317-153585666,Island,Hyper.MS3
cg03535079,chr8,48523497,48523499,+,8:48523498,8,,KIAA0146,Body,,,Hypo.MS1
cg03541909,chr19,52114808,52114810,-,19:52114809,19,,SIGLEC5,3'UTR,,,Hypo.MS2
cg03543319,chr2,68882248,68882250,+,2:68882249,2,,PROKR1,Body,chr2:68882342-68882574,N_Shore,Hypo.MS2
cg03544320,chr4,5894690,5894692,-,4:5894691,4,,CRMP1,1stExon,chr4:5894071-5895116,Island,Hyper.MS1
cg03551401,chr8,132051227,132051229,-,8:132051228,8,,ADCY8,Body,chr8:132052203-132054749,N_Shore,Hypo.MS6
cg03553758,chr5,121456947,121456949,-,5:121456948,5,,,,,,Hypo.MS7
cg03561338,chr14,88601932,88601934,+,14:88601933,14,,,,,,Hypo.MS1
cg03562414,chr19,52391077,52391079,-,19:52391078,19,,ZNF577,Body,chr19:52390841-52391368,Island,Hyper.MS1
cg03562414,chr19,52391077,52391079,-,19:52391078,19,,ZNF577,5'UTR,chr19:52390841-52391368,Island,Hyper.MS1
cg03563630,chr20,37435476,37435478,+,20:37435477,20,,PPP1R16B,5'UTR,chr20:37434206-37435592,Island,Hyper.MS1
cg03567939,chr7,151506146,151506148,+,7:151506147,7,,PRKAG2,5'UTR,,,Hypo.MS1
cg03567939,chr7,151506146,151506148,+,7:151506147,7,,PRKAG2,Body,,,Hypo.MS1
cg03573068,chr11,20620286,20620288,-,11:20620287,11,,SLC6A5,TSS1500,chr11:20618197-20619920,S_Shore,Hyper.MS1
cg03573168,chr7,155897807,155897809,+,7:155897808,7,,,,chr7:155898140-155898386,N_Shore,Hypo.MS4
cg03575041,chr19,54851570,54851572,-,19:54851571,19,,LILRA4,TSS1500,,,Hypo.MS4
cg03576469,chr19,46917060,46917062,-,19:46917061,19,,CCDC8,TSS200,chr19:46915311-46915802,S_Shore,Hyper.MS3
cg03577250,chr20,31261993,31261995,-,20:31261994,20,rs9636547,LOC284805,TSS1500,,,Hypo.MS7
cg03584506,chr11,39689827,39689829,-,11:39689828,11,,,,,,Hypo.MS7
cg03592218,chr16,86741419,86741421,-,16:86741420,16,rs77299028,,,,,Hypo.MS4
cg03593550,chr19,54485403,54485405,-,19:54485404,19,,CACNG8,Body,chr19:54485303-54486322,Island,Hyper.MS2
cg03593550,chr19,54485403,54485405,-,19:54485404,19,,MIR935,TSS200,chr19:54485303-54486322,Island,Hyper.MS2
cg03594972,chr5,3659655,3659657,+,5:3659656,5,,,,,,Hypo.MS4
cg03596178,chr17,76138513,76138515,+,17:76138514,17,,TMC8,3'UTR,chr17:76136513-76137184,S_Shore,Hypo.MS1
cg03598112,chr17,28691020,28691022,-,17:28691021,17,rs35893542,,,,,Hypo.MS7
cg03598731,chr8,130996122,130996124,-,8:130996123,8,rs749029,,,chr8:130995921-130996149,Island,Hyper.MS2
cg03599078,chr10,8078313,8078315,+,10:8078314,10,,,,chr10:8077829-8078378,Island,Hyper.MS1
cg03601836,chr3,190037694,190037696,+,3:190037695,3,,CLDN1,Body,chr3:190039817-190040465,N_Shelf,Hypo.MS7
cg03602297,chr2,30142127,30142129,-,2:30142128,2,,ALK,Body,chr2:30142831-30144624,N_Shore,Hypo.MS2
cg03602321,chr5,3962082,3962084,-,5:3962083,5,rs658848,,,chr5:3962286-3962512,N_Shore,Hypo.MS7
cg03602500,chr19,55047720,55047722,+,19:55047721,19,,KIR3DX1,Body,,,Hypo.MS4
cg03607573,chr11,93471888,93471890,+,11:93471889,11,,TAF1D,Body,chr11:93474085-93475075,N_Shelf,Hypo.MS1
cg03612452,chr6,167587807,167587809,-,6:167587808,6,,TCP10L2,Body,chr6:167587354-167587559,S_Shore,Hypo.MS4
cg03613625,chr20,57408173,57408175,+,20:57408174,20,,GNASAS,Body,,,Hypo.MS2
cg03614193,chr18,55021541,55021543,-,18:55021542,18,rs3745059,ST8SIA3,Body,chr18:55019707-55021605,Island,Hyper.MS3
cg03624195,chr19,14090309,14090311,+,19:14090310,19,,RFX1,Body,chr19:14089570-14089796,S_Shore,Hyper.MS2
cg03625109,chr9,122132102,122132104,+,9:122132103,9,,DBC1,TSS1500,chr9:122131086-122132214,Island,Hyper.MS3
cg03625515,chr16,18157107,18157109,+,16:18157108,16,,,,,,Hypo.MS2
cg03630821,chr19,58861701,58861703,-,19:58861702,19,rs2241788,A1BG,Body,chr19:58861341-58862406,Island,Hyper.MS3
cg03631455,chr5,140595071,140595073,-,5:140595072,5,rs2910329,PCDHB13,1stExon,chr5:140595008-140595880,Island,Hyper.MS3
cg03632704,chr5,87973438,87973440,+,5:87973439,5,,LOC645323,Body,chr5:87973951-87974294,N_Shore,Hyper.MS1
cg03635766,chr17,38607864,38607866,-,17:38607865,17,,IGFBP4,Body,,,Hyper.MS1
cg03650119,chr1,228346013,228346015,+,1:228346014,1,,GJC2,Body,chr1:228345377-228346700,Island,Hyper.MS2
cg03652336,chr4,141017398,141017400,-,4:141017399,4,,MAML3,Body,,,Hypo.MS1
cg03654504,chr1,37495104,37495106,-,1:37495105,1,,GRIK3,Body,chr1:37498377-37500624,N_Shelf,Hypo.MS7
cg03655692,chr8,118636495,118636497,+,8:118636496,8,,,,,,Hypo.MS1
cg03660603,chr3,86998417,86998419,+,3:86998418,3,,VGLL3,Body,,,Hypo.MS7
cg03661324,chr2,79411916,79411918,+,2:79411917,2,,,,,,Hypo.MS6
cg03661929,chr3,116503714,116503716,+,3:116503715,3,,,,,,Hypo.MS5
cg03662014,chr16,29086270,29086272,+,16:29086271,16,,RRN3P2,Body,chr16:29086220-29086434,Island,Hyper.MS3
cg03663556,chr7,50900555,50900557,+,7:50900556,7,,,,,,Hypo.MS3
cg03677952,chr22,50524540,50524542,+,22:50524541,22,,MLC1,TSS1500,chr22:50528201-50529085,N_Shelf,Hypo.MS5
cg03677952,chr22,50524540,50524542,+,22:50524541,22,,MLC1,TSS200,chr22:50528201-50529085,N_Shelf,Hypo.MS5
cg03679755,chr10,101875034,101875036,-,10:101875035,10,,,,chr10:101874821-101875139,Island,Hyper.MS1
cg03690956,chr10,118900323,118900325,-,10:118900324,10,,,,chr10:118899247-118900329,Island,Hyper.MS1
cg03692563,chr11,31846413,31846415,-,11:31846414,11,,,,chr11:31847132-31847958,N_Shore,Hyper.MS1
cg03698681,chr8,117242770,117242772,+,8:117242771,8,,,,,,Hypo.MS7
cg03702677,chr12,130935007,130935009,-,12:130935008,12,,RIMBP2,Body,chr12:130935712-130935963,N_Shore,Hypo.MS4
cg03705366,chr5,113690883,113690885,-,5:113690884,5,,,,,,Hypo.MS2
cg03714619,chr2,45160444,45160446,+,2:45160445,2,,,,chr2:45161427-45163058,N_Shore,Hyper.MS1
cg03719032,chr19,19374709,19374711,+,19:19374710,19,,HAPLN4,TSS1500,chr19:19371675-19372393,S_Shelf,Hypo.MS1
